Country_or_region,Highest_point,Maximum_elevation,Lowest_point,Minimum_elevation,Elevation_span
Senegal,Baunez ridge 2.7 km southeast of Nepen Diakha,"648 m2,126 ft",North Atlantic Ocean,sea level,"648 m2,126 ft"
Serbia,Midžor(Velika Rudoka if Kosovo is considered part of Serbia),"2169 m7,116 ft",Confluence of the Timok River and the Danube River,28 m92 ft,"2141 m7,024 ft"
Seychelles,Morne Seychellois on Mahé,"905 m2,969 ft",Indian Ocean,sea level,"905 m2,969 ft"
Sierra Leone,Mount Bintumani,"1948 m6,391 ft",North Atlantic Ocean,sea level,"1948 m6,391 ft"
Singapore,Bukit Timah Hill,164 m537 ft,Singapore Strait,sea level,164 m537 ft
Sint Maarten,"200 m SW of Flagstaff Peak (The summit is wholly in Saint Martin.)
[17][18][19]","383 m1,257 ft",Caribbean Sea,sea level,"383 m1,257 ft"
Slovakia,Gerlachovský štít,"2655 m8,711 ft",Bodrog,94 m308 ft,"2561 m8,402 ft"
Slovenia,Triglav,"2864 m9,396 ft",Adriatic Sea,sea level,"2864 m9,396 ft"
Solomon Islands,Mount Popomanaseu on Guadalcanal,"2335 m7,661 ft",South Pacific Ocean,sea level,"2335 m7,661 ft"
Somalia,Shimbiris,"2450 m8,038 ft",Indian Ocean,sea level,"2450 m8,038 ft"
South Africa,Mafadi,"3450 m11,319 ft",South Atlantic OceanIndian Ocean,sea level,"3450 m11,319 ft"
South Georgia and the South Sandwich Islands,Mount Paget[an],"2934 m9,626 ft",South Atlantic Ocean,sea level,"2934 m9,626 ft"
South Sudan,Kinyeti,"3187 m10,456 ft",White Nile,"350 m1,148 ft","2837 m9,308 ft"
Spain,Teide[ao] on Tenerife[ap],"3715 m12,188 ft",North Atlantic OceanMediterranean Sea,sea level,"3715 m12,188 ft"
Spratly Islands[aq],Unnamed location on Southwest Cay,4 m13 ft,South China Sea,sea level,4 m13 ft
Sri Lanka,Pidurutalagala on Sri Lanka,"2524 m8,281 ft",Indian Ocean,sea level,"2524 m8,281 ft"
Sudan,Deriba Caldera,"3042 m9,980 ft",Red Sea,sea level,"3042 m9,980 ft"
Suriname,Juliana Top,"1230 m4,035 ft",North Atlantic Ocean,sea level,"1230 m4,035 ft"
Svalbard and Jan Mayen,Haakon VII Toppen,"2277 m7,470 ft",Norwegian Sea,sea level,"2277 m7,470 ft"
Sweden,Kebnekaise,"2097 m6,880 ft",Kristianstad,−2 m−8 ft,"2099 m6,888 ft"
Switzerland,Dufourspitze(Monte Rosa),"4634 m15,203 ft",Lake Maggiore,193 m633 ft,"4441 m14,570 ft"
Syria,Jabal el-Sheikh,"2814 m9,232 ft",Northeast shores of the Sea of Galilee in the Golan Heights (from Syrian point of view; See Israeli-occupied territories),−214 m−702 ft,"2814 m9,232 ft"
Taiwan[ar],Yu Shan (Jade Mountain),"3952 m12,966 ft",Philippine SeaSouth China SeaEast China Sea,sea level,"3952 m12,966 ft"
Tajikistan,Ismoil Somoni Peak,"7495 m24,590 ft",Syr Darya,300 m984 ft,"7195 m23,606 ft"
Tanzania,Kilimanjaro[as],"5892 m19,331 ft",Indian Ocean,sea level,"5892 m19,331 ft"
Thailand,Doi Inthanon,"2565 m8,415 ft",Gulf of ThailandAndaman Sea,sea level,"2565 m8,415 ft"
Timor-Leste,Mount Ramelau on Timor,"2963 m9,721 ft",Timor Sea,sea level,"2963 m9,721 ft"
Togo,Mont Agou,"986 m3,235 ft",Bight of Benin,sea level,"986 m3,235 ft"
Tokelau,Unnamed location,5 m16 ft,South Pacific Ocean,sea level,5 m16 ft
Tonga,Unnamed location on Kao,"1033 m3,389 ft",South Pacific Ocean,sea level,"1033 m3,389 ft"
Trinidad and Tobago,El Cerro del Aripo on Trinidad,"940 m3,084 ft",Caribbean Sea,sea level,"940 m3,084 ft"
Tunisia,Jebel ech Chambi,"1544 m5,066 ft",Shatt al Gharsah,−17 m−56 ft,"1561 m5,121 ft"
Turkey,Mount Ararat,"5137 m16,854 ft",Mediterranean SeaBlack Sea,sea level,"5137 m16,854 ft"
Turkmenistan,Aýrybaba,"3139 m10,299 ft",Vpadina Akchanaya[at],−81 m−266 ft,"3220 m10,564 ft"
Turks and Caicos Islands,Blue Hills on Providenciales,49 m161 ft,North Atlantic Ocean,sea level,49 m161 ft
Tuvalu,Unnamed location on Niulakita,5 m15 ft,South Pacific Ocean,sea level,5 m15 ft
Uganda,Mount Stanley (Margherita Peak),"5109 m16,762 ft",Albert Nile,"621 m2,037 ft","4488 m14,724 ft"
Ukraine,Hoverla,"2061 m6,762 ft",Kuyalnik Estuary,−5 m−16 ft,"2066 m6,778 ft"
United Arab Emirates,Jabal Al Jais,"1910 m6,266 ft",Persian GulfGulf of Oman,sea level,"1910 m6,266 ft"
United Kingdom,Ben Nevis[au],"1345 m4,413 ft",Holme Fen[20],−4 m−13 ft,"1349 m4,426 ft"
United States,Denali[av][aw][ax],"6190.5 m20,310 ft",Badwater Basin[ay],−85.5 m−281 ft,"6276 m20,591 ft"
United States Minor Outlying Islands,Unnamed hill on Sand Island (Johnston Atoll),13 m43 ft,Pacific Ocean,sea level,13 m43 ft
Uruguay,Cerro Catedral,"514 m1,685 ft",South Atlantic Ocean,sea level,"514 m1,685 ft"
Uzbekistan,Alpomish[21],"4668 m15,315 ft",Sariqarnish Kuli[at],−12 m−39 ft,"4680 m15,354 ft"
Vanuatu,Mount Tabwemasana on Espiritu Santo,"1877 m6,158 ft",South Pacific Ocean,sea level,"1877 m6,158 ft"
Vatican City,Vatican Hill,75 m246 ft,Saint Peter's Square,33 m108 ft,42 m138 ft
Venezuela,Pico Bolívar,"4978 m16,332 ft","Lagunillas Municipality, Zulia",−12 m−39 ft,"4990 m16,371 ft"
Vietnam,Fansipan,"3143 m10,312 ft",South China SeaGulf of Thailand,sea level,"3143 m10,312 ft"
British Virgin Islands,Mount Sage on Tortola,"521 m1,709 ft",Caribbean Sea,sea level,"521 m1,709 ft"
United States Virgin Islands,Crown Mountain on Saint Thomas,"474 m1,555 ft",Caribbean Sea,sea level,"474 m1,555 ft"
Wallis and Futuna,Mont Puke on Futuna,"524 m1,719 ft",South Pacific Ocean,sea level,"524 m1,719 ft"
Yemen,Jabal An-Nabi Shu'ayb,"3666 m12,028 ft",Arabian Sea,sea level,"3666 m12,028 ft"
Zambia,Mafinga Central,"2329 m7,641 ft",Zambezi,"329 m1,079 ft","2000 m6,562 ft"
Zimbabwe,Mount Nyangani,"2592 m8,504 ft",Confluence of Runde River and Save River,162 m531 ft,"2430 m7,972 ft"
Earth,Mount Everest[i],"8848 m29,029 ft",Dead Sea[aa],"−428 m−1,404 ft","9,276 m30,433 ft"
